COUNTRY,endocrine_deaths,blood_pressure_deaths,respiratory_deaths
Argentina,,9256,186220
Australia,,1735,45402
Austria,,2922,14106
Belgium,,671,23052
Brazil,10,74902,463195
Canada,,2814,74705
Chile,,6873,30643
Colombia,,8092,80545
Cyprus,,136,1046
Czechia,2,3861,22673
Denmark,,464,5845
Egypt,8481,42920,42120
Estonia,329,,2292
Finland,1774,253,6157
France,,8019,82599
Germany,99,22129,201122
Greece,,1956,28644
Hungary,,5985,23856
Iceland,98,48,826
Ireland,,140,3865
Israel,,1806,10950
Italy,,10917,95055
Japan,,7559,606604
Jordan,,814,1153
Kuwait,,8,1324
Latvia,,154,712
Lithuania,,35,5382
Luxembourg,,40,611
Malta,,14,682
Mexico,,19729,170447
Netherlands,,1778,37626
New Zealand,,61,2968
Norway,,384,8566
Peru,,5006,68566
Poland,1,5247,73601
Portugal,,2310,39763
Qatar,346,164,603
"Korea, South",10564,7097,89819
Singapore,,1,13203
Slovenia,1024,4,3852
South Africa,25482,10005,44326
Spain,,10454,150275
Sweden,,2060,19373
Switzerland,,1535,8722
Tajikistan,1405,2885,1811
Thailand,27148,18681,123775
Turkey,,5811,93116
United Kingdom,,3316,166959
US,1,64570,815939
