COUNTRY,Date,Total_Cases_Country,Total_Deceased_Country,New_Confirmed_Country,New_Total_Deceased_Country,Population,Total_Mortality_Rate_Per_Capita,New_Mortality_Rate_Per_Capita,Total_Cases_Country_Per_Capita,rolling_average_confirmed,rolling_average_deceased,total_rolling_average_mortality,new_rolling_average_mortality,latitude,longitude
Afghanistan,2020-03-06,1,0,0,0,38928341,0,0,0.0000000256882254499363,0,0,0,0,33.93911,67.709953
Afghanistan,2020-03-07,1,0,0,0,38928341,0,0,0.0000000256882254499363,0,0,0,0,33.93911,67.709953
Afghanistan,2020-03-09,4,0,0,0,38928341,0,0,0.000000102752901799745,0.428571428571429,0,0,0,33.93911,67.709953
Afghanistan,2020-03-10,5,0,1,0,38928341,0,0,0.000000128441127249682,0.571428571428571,0,0,0,33.93911,67.709953
Afghanistan,2020-03-11,7,0,2,0,38928341,0,0,0.000000179817578149554,0.857142857142857,0,0,0,33.93911,67.709953
Afghanistan,2020-03-08,4,0,3,0,38928341,0,0,0.000000102752901799745,0.428571428571429,0,0,0,33.93911,67.709953
Afghanistan,2020-03-13,7,0,0,0,38928341,0,0,0.000000179817578149554,0.857142857142857,0,0,0,33.93911,67.709953
Afghanistan,2020-03-14,11,0,4,0,38928341,0,0,0.0000002825704799493,1.42857142857143,0,0,0,33.93911,67.709953
Afghanistan,2020-03-15,16,0,5,0,38928341,0,0,0.000000411011607198981,1.71428571428571,0,0,0,33.93911,67.709953
Afghanistan,2020-03-12,7,0,0,0,38928341,0,0,0.000000179817578149554,0.857142857142857,0,0,0,33.93911,67.709953
Afghanistan,2020-03-04,1,0,0,0,38928341,0,0,0.0000000256882254499363,0,0,0,0,33.93911,67.709953
Afghanistan,2020-03-05,1,0,0,0,38928341,0,0,0.0000000256882254499363,0,0,0,0,33.93911,67.709953
Afghanistan,2020-02-21,0,0,0,0,38928341,0,0,0,0,0,0,0,33.93911,67.709953
Afghanistan,2020-02-22,0,0,0,0,38928341,0,0,0,0,0,0,0,33.93911,67.709953
Afghanistan,2020-02-23,0,0,0,0,38928341,0,0,0,0,0,0,0,33.93911,67.709953
Afghanistan,2020-02-24,1,0,1,0,38928341,0,0,0.0000000256882254499363,0.142857142857143,0,0,0,33.93911,67.709953
Afghanistan,2020-02-25,1,0,0,0,38928341,0,0,0.0000000256882254499363,0.142857142857143,0,0,0,33.93911,67.709953
