Country Name,Country Code,arrivals
Aruba,ABW,1082000
Afghanistan,AFG,
Angola,AGO,218000
Albania,ALB,5340000
Andorra,AND,3042000
Arab World,ARB,101463695.3
United Arab Emirates,ARE,21286000
Argentina,ARG,6942000
Armenia,ARM,1652000
American Samoa,ASM,20200
Antigua and Barbuda,ATG,269000
Australia,AUS,9246000
Austria,AUT,30816000
Azerbaijan,AZE,2633000
Burundi,BDI,
Belgium,BEL,9119000
Benin,BEN,295000
Burkina Faso,BFA,144000
Bangladesh,BGD,
Bulgaria,BGR,9273000
Bahrain,BHR,12045000
"Bahamas, The",BHS,1633000
Bosnia and Herzegovina,BIH,1053000
Belarus,BLR,11501600
Belize,BLZ,489000
Bermuda,BMU,282000
Bolivia,BOL,1142000
Brazil,BRA,6621000
Barbados,BRB,680000
Brunei Darussalam,BRN,278000
Bhutan,BTN,274000
Botswana,BWA,
Central African Republic,CAF,
Canada,CAN,21134000
Central Europe and the Baltics,CEB,100109000
Switzerland,CHE,10362000
Channel Islands,CHI,
Chile,CHL,5723000
China,CHN,62900000
Cote d'Ivoire,CIV,1965000
Cameroon,CMR,
"Congo, Dem. Rep.",COD,
"Congo, Rep.",COG,156000
Colombia,COL,3904000
Comoros,COM,35900
Cabo Verde,CPV,710000
Costa Rica,CRI,3017000
Caribbean small states,CSS,7351483.617
Cuba,CUB,4684000
Curacao,CUW,432000
Cayman Islands,CYM,463000
Cyprus,CYP,3939000
Czech Republic,CZE,10611000
Germany,DEU,38881000
Djibouti,DJI,
Dominica,DMA,63000
Denmark,DNK,12749000
Dominican Republic,DOM,6569000
Algeria,DZA,2657000
East Asia & Pacific (excluding high income),EAP,183241430.2
Early-demographic dividend,EAR,275587369.5
East Asia & Pacific,EAS,320268446.7
Europe & Central Asia (excluding high income),ECA,155252576.8
Europe & Central Asia,ECS,712592479.7
Ecuador,ECU,2535000
"Egypt, Arab Rep.",EGY,11196000
Euro area,EMU,413959200
Eritrea,ERI,
Spain,ESP,82773000
Estonia,EST,3234000
Ethiopia,ETH,849000
European Union,EUU,555887200
Fragile and conflict affected situations,FCS,
Finland,FIN,3224000
Fiji,FJI,870000
France,FRA,89322000
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,19200
Gabon,GAB,
United Kingdom,GBR,36316000
Georgia,GEO,4757000
Ghana,GHA,
Gibraltar,GIB,
Guinea,GIN,
"Gambia, The",GMB,552000
Guinea-Bissau,GNB,
Equatorial Guinea,GNQ,
Greece,GRC,30123000
Grenada,GRD,185000
Greenland,GRL,
Guatemala,GTM,1781000
Guam,GUM,1549000
Guyana,GUY,287000
High income,HIC,866650998.2
"Hong Kong SAR, China",HKG,29263000
Honduras,HND,
Heavily indebted poor countries (HIPC),HPC,
Croatia,HRV,16645000
Haiti,HTI,447000
Hungary,HUN,17552000
IBRD only,IBD,531740974.7
IDA & IBRD total,IBT,610304931
IDA total,IDA,
IDA blend,IDB,
Indonesia,IDN,15810000
IDA only,IDX,
Isle of Man,IMN,
India,IND,17423000
Not classified,INX,
Ireland,IRL,10926000
"Iran, Islamic Rep.",IRN,7295000
Iraq,IRQ,
Iceland,ISL,2343800
Israel,ISR,4121000
Italy,ITA,61567200
Jamaica,JAM,2473000
Jordan,JOR,4150000
Japan,JPN,31192000
Kazakhstan,KAZ,8789000
Kenya,KEN,
Kyrgyz Republic,KGZ,423000
Cambodia,KHM,6201000
Kiribati,KIR,7100
St. Kitts and Nevis,KNA,125000
"Korea, Rep.",KOR,15347000
Kuwait,KWT,8508000
Latin America & Caribbean (excluding high income),LAC,93083127.41
Lao PDR,LAO,3770000
Lebanon,LBN,1964000
Liberia,LBR,
Libya,LBY,
St. Lucia,LCA,395000
Latin America & Caribbean,LCN,113348450.7
Least developed countries: UN classification,LDC,37193816.89
Low income,LIC,
Liechtenstein,LIE,85300
Sri Lanka,LKA,2334000
Lower middle income,LMC,152816175.8
Low & middle income,LMY,569038431.2
Lesotho,LSO,1173000
Late-demographic dividend,LTE,333351809.3
Lithuania,LTU,2825000
Luxembourg,LUX,1018000
Latvia,LVA,1946000
"Macao SAR, China",MAC,18493000
St. Martin (French part),MAF,
Morocco,MAR,12289000
Monaco,MCO,347000
Moldova,MDA,160000
Madagascar,MDG,291000
Maldives,MDV,1484000
Middle East & North Africa,MEA,110563609.2
Mexico,MEX,41313000
Marshall Islands,MHL,6800
Middle income,MIC,537884675.6
North Macedonia,MKD,707000
Mali,MLI,14000
Malta,MLT,2599000
Myanmar,MMR,3551000
Middle East & North Africa (excluding high income),MNA,57712158.75
Montenegro,MNE,2077000
Mongolia,MNG,529000
Northern Mariana Islands,MNP,517000
Mozambique,MOZ,2743000
Mauritania,MRT,
Mauritius,MUS,1399000
Malawi,MWI,871000
Malaysia,MYS,25832000
North America,NAC,101161920
Namibia,NAM,
New Caledonia,NCL,120000
Niger,NER,157000
Nigeria,NGA,
Nicaragua,NIC,1256000
Netherlands,NLD,18780000
Norway,NOR,5688000
Nepal,NPL,1173000
Nauru,NRU,
New Zealand,NZL,3686000
OECD members,OED,787380920
Oman,OMN,2301000
Other small states,OSS,42781520.97
Pakistan,PAK,
Panama,PAN,1785000
Peru,PER,4419000
Philippines,PHL,7168000
Palau,PLW,106000
Papua New Guinea,PNG,140000
Poland,POL,19622000
Pre-demographic dividend,PRE,
Puerto Rico,PRI,3068000
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,16186000
Paraguay,PRY,1181000
West Bank and Gaza,PSE,606000
Pacific island small states,PSS,1392601.449
Post-demographic dividend,PST,773365720
French Polynesia,PYF,216300
Qatar,QAT,1819300
Romania,ROU,11720000
Russian Federation,RUS,24551000
Rwanda,RWA,
South Asia,SAS,26701056.84
Saudi Arabia,SAU,15334000
Sudan,SDN,836000
Senegal,SEN,
Singapore,SGP,14673000
Solomon Islands,SLB,27900
Sierra Leone,SLE,57000
El Salvador,SLV,1677300
