COUNTRY,cellular_sub
Aruba,
Afghanistan,59.12084823
Angola,43.13051888
Albania,94.17699827
Andorra,107.2825494
Arab World,99.43166895
United Arab Emirates,208.5048332
Argentina,132.0931513
Armenia,121.259018
American Samoa,
Antigua and Barbuda,
Australia,113.5787106
Austria,123.5352681
Azerbaijan,103.9214187
Burundi,56.53470747
Belgium,99.69668646
Benin,82.38429039
Burkina Faso,97.91227142
Bangladesh,100.2447125
Bulgaria,118.9396801
Bahrain,133.3409369
Bahamas,98.95082681
Bosnia and Herzegovina,104.1256346
Belarus,122.925228
Belize,85.52696498
Bermuda,
Bolivia,100.8164084
Brazil,98.84349987
Barbados,114.8914496
Brunei,131.9342228
Bhutan,93.26155771
Botswana,150.0055899
Central African Republic,27.41449024
Canada,89.58002255
Central Europe and the Baltics,124.3638044
Switzerland,126.7727087
Channel Islands,
Chile,134.4373213
China,115.5258122
Cote d'Ivoire,134.8579514
Cameroon,73.19019901
Congo (Kinshasa),43.38221502
Congo (Brazzaville),95.34053637
Colombia,129.9086097
Comoros,59.94110452
Cabo Verde,112.2407207
Costa Rica,169.9306983
Caribbean small states,112.2666325
Cuba,47.39153727
Curacao,114.5239383
Cayman Islands,
Cyprus,138.900486
Czechia,119.1135078
Germany,129.3242137
Djibouti,41.19590415
Dominica,105.7884817
Denmark,125.118956
Dominican Republic,84.10208352
Algeria,111.6647921
East Asia & Pacific (excluding high income),120.2393054
Early-demographic dividend,96.6881917
East Asia & Pacific,122.2041697
Europe & Central Asia (excluding high income),125.569287
Europe & Central Asia,123.7838211
Ecuador,92.32327021
Egypt,95.28659682
Euro area,122.5633022
Eritrea,
Spain,115.9942148
Estonia,145.4384241
Ethiopia,
European Union,122.1640589
Fragile and conflict affected situations,73.71993843
Finland,129.4685668
Fiji,
France,108.357357
Faroe Islands,117.1041508
"Micronesia, Fed. Sts.",
Gabon,138.2809687
United Kingdom,118.3651292
Georgia,136.380667
Ghana,137.5171658
Gibraltar,121.7302331
Guinea,96.76749212
Gambia,139.5290282
Guinea-Bissau,78.9888828
Equatorial Guinea,45.16686721
Greece,115.6669118
Grenada,
Greenland,110.55972
Guatemala,118.6670871
Guam,
Guyana,
High income,127.815545
"Hong Kong SAR, China",269.9753789
Honduras,79.15031642
Heavily indebted poor countries (HIPC),73.14288505
Croatia,105.5834549
Haiti,57.52891844
Hungary,103.4451716
IBRD only,109.0809694
IDA & IBRD total,102.7249476
IDA total,82.11229927
IDA blend,81.65271893
Indonesia,119.3387219
IDA only,82.38439726
Isle of Man,
India,86.94256319
Not classified,
Ireland,103.1710486
Iran,108.4623938
Iraq,95.04015497
Iceland,126.137096
Israel,127.6618693
Italy,137.466947
Jamaica,101.0265271
Jordan,87.62148885
Japan,141.4069924
Kazakhstan,142.2824428
Kenya,96.32021675
Kyrgyzstan,138.5660601
Cambodia,119.4915172
Kiribati,50.78940326
St. Kitts and Nevis,
"Korea, South",129.6727883
Kuwait,171.6053322
