COUNTRY,Date,Total_Cases_Country,Total_Deceased_Country,New_Confirmed_Country,New_Total_Deceased_Country,Population,Total_Mortality_Rate_Per_Capita,New_Mortality_Rate_Per_Capita,Total_Cases_Country_Per_Capita,rolling_average_confirmed,rolling_average_deceased,total_rolling_average_mortality,new_rolling_average_mortality,latitude,longitude,C1_School.closing,C1_Flag,C2_Workplace.closing,C2_Flag,C3_Cancel.public.events,C3_Flag,C4_Restrictions.on.gatherings,C4_Flag,C5_Close.public.transport,C5_Flag,C6_Stay.at.home.requirements,C6_Flag,C7_Restrictions.on.internal.movement,C7_Flag,C8_International.travel.controls,E1_Income.support,E1_Flag,E2_Debt.contract.relief,E3_Fiscal.measures,H1_Public.information.campaigns,H1_Flag,H2_Testing.policy,H3_Contact.tracing,H4_Emergency.investment.in.healthcare,H5_Investment.in.vaccines,M1_Wildcard,StringencyIndex,LegacyStringencyIndex,Oxford_Cases,Oxford_Deaths,Lagged_School_Closing_One_Week,Lagged_School_Closing_General_One_Week,Lagged_Workplace_Closing_One_Week,Lagged_Workplace_Closing_General_One_Week,Lagged_Public_Events_One_Week,Lagged_Public_Events_General_One_Week,Lagged_Gatherings_One_Week,Lagged_Gatherings_General_One_Week,Lagged_Public_Transport_One_Week,Lagged_Public_Transport_General_One_Week,Lagged_Lockdown_One_Week,Lagged_Lockdown_General_One_Week,Lagged_Internal_Movement_One_Week,Lagged_Internal_Movement_General_One_Week,Lagged_International_Travel_One_Week,Lagged_Income_Support_One_Week,Lagged_Income_Support_General_One_Week,Lagged_Debt_Relief_One_Week,Lagged_Fiscal_Measures_One_Week,Lagged_Campaign_One_Week,Lagged_Campaign_General_One_Week,Lagged_Testing_One_Week,Lagged_Tracing_One_Week,Lagged_Health_Care_One_Week,Lagged_Stringency_Index_One_Week,Lagged_Legacy_Stringency_Index_One_Week,Lagged_School_Closing_Two_Weeks,Lagged_School_Closing_General_Two_Weeks,Lagged_Workplace_Closing_Two_Weeks,Lagged_Workplace_Closing_General_Two_Weeks,Lagged_Public_Events_Two_Weeks,Lagged_Public_Events_General_Two_Weeks,Lagged_Gatherings_Two_Weeks,Lagged_Gatherings_General_Two_Weeks,Lagged_Public_Transport_Two_Weeks,Lagged_Public_Transport_General_Two_Weeks,Lagged_Lockdown_Two_Weeks,Lagged_Lockdown_General_Two_Weeks,Lagged_Internal_Movement_Two_Weeks,Lagged_Internal_Movement_General_Two_Weeks,Lagged_International_Travel_Two_Weeks,Lagged_Income_Support_Two_Weeks,Lagged_Income_Support_General_Two_Weeks,Lagged_Debt_Relief_Two_Weeks,Lagged_Fiscal_Measures_Two_Weeks,Lagged_Campaign_Two_Weeks,Lagged_Campaign_General_Two_Weeks,Lagged_Testing_Two_Weeks,Lagged_Tracing_Two_Weeks,Lagged_Health_Care_Two_Weeks,Lagged_Stringency_Index_Two_Weeks,Lagged_Legacy_Stringency_Index_Two_Weeks,Lagged_School_Closing_Three_Weeks,Lagged_School_Closing_General_Three_Weeks,Lagged_Workplace_Closing_Three_Weeks,Lagged_Workplace_Closing_General_Three_Weeks,Lagged_Public_Events_Three_Weeks,Lagged_Public_Events_General_Three_Weeks,Lagged_Gatherings_Three_Weeks,Lagged_Gatherings_General_Three_Weeks,Lagged_Public_Transport_Three_Weeks,Lagged_Public_Transport_General_Three_Weeks,Lagged_Lockdown_Three_Weeks,Lagged_Lockdown_General_Three_Weeks,Lagged_Internal_Movement_Three_Weeks,Lagged_Internal_Movement_General_Three_Weeks,Lagged_International_Travel_Three_Weeks,Lagged_Income_Support_Three_Weeks,Lagged_Income_Support_General_Three_Weeks,Lagged_Debt_Relief_Three_Weeks,Lagged_Fiscal_Measures_Three_Weeks,Lagged_Campaign_Three_Weeks,Lagged_Campaign_General_Three_Weeks,Lagged_Testing_Three_Weeks,Lagged_Tracing_Three_Weeks,Lagged_Health_Care_Three_Weeks,Lagged_Stringency_Index_Three_Weeks,Lagged_Legacy_Stringency_Index_Three_Weeks,Latitude,Longitude,prop65,propurban,popdensity,driving,walking,transit,arrivals,departures,vul_emp,GNI,health_exp,pollution,week_num,total_mortality_growth,... <- NULL,total_mortality_growth_b,new_mortality_growth,new_mortality_growth_b
Argentina,2020-03-08,12,1,4,1,45195777,2.2125961016225035e-8,2.2125961016225035e-8,2.655115321947004e-7,1.7142857142857142,0.14285714285714285,3.1608515737464334e-9,3.1608515737464334e-9,-38.416097,-63.616672,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,0,NA,11.11,14.29,9,1,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,80.36,70.94,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,10,NA,NA,NA,NA,NA
Argentina,2020-03-09,12,1,0,0,45195777,2.2125961016225035e-8,0,2.655115321947004e-7,1.7142857142857142,0.14285714285714285,6.321703147492867e-9,3.1608515737464334e-9,-38.416097,-63.616672,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,0,NA,11.11,14.29,12,1,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,89.28,109.38,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,10,NA,NA,NA,NA,NA
Argentina,2020-03-10,17,1,5,0,45195777,2.2125961016225035e-8,0,3.761413372758256e-7,2.2857142857142856,0.14285714285714285,9.482554721239301e-9,3.1608515737464334e-9,-38.416097,-63.616672,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,26000000,0,NA,11.11,14.29,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,89.29,109.62,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,10,NA,NA,NA,NA,NA
Argentina,2020-03-11,19,1,2,0,45195777,2.2125961016225035e-8,0,4.203932593082756e-7,2.5714285714285716,0.14285714285714285,1.2643406294985734e-8,3.1608515737464334e-9,-38.416097,-63.616672,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,2,NA,NA,NA,0,2,1,1,1,0,0,NA,16.67,20,19,1,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,82.73,83.06,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,11,NA,NA,NA,NA,NA
Argentina,2020-03-12,19,1,0,0,45195777,2.2125961016225035e-8,0,4.203932593082756e-7,2.5714285714285716,0.14285714285714285,1.5804257868732167e-8,3.1608515737464334e-9,-38.416097,-63.616672,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,2,NA,NA,NA,0,2,1,1,1,0,0,NA,16.67,20,NA,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,86.67,106.85,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,11,NA,NA,NA,NA,NA
Argentina,2020-03-13,31,2,12,1,45195777,4.425192203245007e-8,2.2125961016225035e-8,6.859047915029761e-7,4.142857142857143,0.2857142857142857,2.2125961016225035e-8,6.321703147492867e-9,-38.416097,-63.616672,0,NA,0,NA,2,1,NA,NA,0,NA,NA,NA,0,NA,2,NA,NA,NA,0,2,1,1,1,0,0,NA,27.78,34.29,31,1,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,98.75,104.31,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,11,NA,NA,NA,NA,NA
Argentina,2020-03-14,34,2,3,0,45195777,4.425192203245007e-8,0,7.522826745516512e-7,3.7142857142857144,0.2857142857142857,2.8447664163717903e-8,6.321703147492867e-9,-38.416097,-63.616672,0,NA,0,NA,2,1,NA,NA,0,NA,NA,NA,0,NA,2,NA,NA,NA,0,2,1,1,1,0,0,NA,27.78,34.29,34,2,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,84.77,70.31,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,11,NA,NA,NA,NA,NA
Argentina,2020-03-15,45,2,11,0,45195777,4.425192203245007e-8,0,9.956682457301265e-7,4.714285714285714,0.14285714285714285,3.1608515737464335e-8,3.1608515737464334e-9,-38.416097,-63.616672,0,NA,0,NA,2,1,NA,NA,0,NA,NA,NA,0,NA,2,NA,NA,NA,0,2,1,1,1,0,0,NA,27.78,34.29,45,2,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,47.7,43.64,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,11,2.302585092994046,0,0.9542425094393249,0,-Inf
Argentina,2020-03-16,56,2,11,0,45195777,4.425192203245007e-8,0,1.239053816908602e-6,6.285714285714286,0.14285714285714285,3.476936731121077e-8,3.1608515737464334e-9,-38.416097,-63.616672,3,1,3,0,2,1,NA,NA,0,NA,NA,NA,0,NA,3,NA,NA,NA,0,2,1,1,1,0,0,NA,49.61,62.14,56,2,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,53.57,51.55,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,11,1.7047480922384255,0,0.6532125137753437,0,-Inf
Argentina,2020-03-17,68,2,12,0,45195777,4.425192203245007e-8,0,1.5045653491033024e-6,7.285714285714286,0.14285714285714285,3.7930218884957206e-8,3.1608515737464334e-9,-38.416097,-63.616672,3,1,3,0,2,1,NA,NA,0,NA,NA,NA,0,NA,3,NA,NA,NA,10000000000,2,1,1,1,0,0,NA,49.61,62.14,65,2,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,1,1,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,2,1,0,0,0,11.11,14.29,-38.416097,-63.616672,11.117789,91.87,16.2585101,45.44,35.57,NA,6942000,11130000,21.80499911,12390,1324.603516,13.31183395,11,1.3862943611198906,0,0.47712125471966244,0,-Inf
