COUNTRY,Cause of Death,ICD_Deaths
Anguilla,High Blood Pressure,2
Anguilla,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",8
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",5
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",3
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,High Blood Pressure,1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",4
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",6
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",8
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",7
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",203
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",3
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",84
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",8
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",16
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",32
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",4
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",3
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",1
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",20
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",2
Belarus,"Respiratory Diseases - e.g. Influenza, Lung Diseases",122
