country,days.to.peak.mortality,peak.or.no.mortality,days.to.peak.case,peak.or.no.case,early.mortality,early.mortality.growth,early.case,early.case.growth,peak.mortality,peak.case,peak.new.mortality,peak.new.case,log.peak.mortality.to.duration,log.peak.case.to.duration,early.stringency,stringency.growth.to.max,peak.stringency,early.mobility.walking,prop65,propurban,popdensity,vul_emp,health_exp,GNI,pollution,Latitude,Longitude,EIU_Democracy,freedom_house,stringent
Argentina,50,1,57,0,2.84477E-08,0.693147181,1.16952E-07,2.48490665,3.83727E-06,8.42409E-05,1.92812E-07,3.62497E-06,-0.30923101,-0.219783589,11.11,1.929268293,90.21,105.08,11.117789,91.87,16.2585101,21.80499911,1324.603516,12390,13.31183395,-38.416097,-63.616672,-38.416097,85,SI<19
Australia,38,1,64,1,6.16249E-08,0.693147181,2.80113E-07,0.538996501,1.41177E-06,0.000125188,1.68068E-07,1.50085E-05,-0.410497292,-0.173545244,19.44,1.604375,70.78,115.05,15.656475,86.012,3.249129487,10.63399966,5331.817871,53230,8.550324401,-25.274398,133.775136,-25.274398,97,SI>19
Austria,29,1,32,1,2.22064E-07,1.386294361,8.08949E-07,2.197224577,2.75994E-05,0.00066245,2.39512E-06,8.65575E-05,-0.446278493,-0.292334427,11.11,19.2125,87.96,112.2771429,19.001566,58.297,107.2069267,7.385000229,4939.875488,49310,12.47796673,47.516231,14.550072,47.516231,93,SI<19
Belgium,36,1,71,1,3.94442E-07,1.203972804,8.62841E-08,0,0.000336779,0.002521913,2.87696E-05,0.000125359,-0.290449762,-0.126539898,11.50714286,2.13522449,86.24,142.2928571,18.788744,98.001,377.2149273,10.18899989,4507.356445,45910,12.88651847,50.503887,4.469936,50.503887,96,SI<19
Brazil,42,1,63,0,6.38477E-08,3.526360525,7.39289E-09,0.693147181,1.87981E-05,0.000287907,1.57401E-06,2.15453E-05,-0.31814004,-0.17056112,11.11,5.941,70.52,96.07428571,8.922838,86.569,25.06171624,27.90799952,928.7993164,9140,12.70662947,-14.235004,-51.92528,-14.235004,75,SI<19
Canada,47,1,87,1,2.64956E-08,0,6.05613E-08,0.826678573,5.4861E-05,0.000955109,4.42855E-06,5.09245E-05,-0.262285944,-0.113622605,2.78,1.908,79.1,125.9285714,17.232007,81.411,4.075308214,10.69100039,4754.947754,44940,6.428383133,56.130366,-106.346771,56.130366,98,SI<19
Chile,31,1,57,0,1.71881E-07,1.791759469,2.24193E-07,2.079441542,6.92008E-06,0.00068428,4.93224E-07,2.67574E-05,-0.468461374,-0.184714028,4.761428571,2.630687831,75.79,38.61,11.529802,87.564,25.18944607,22.69400036,1381.986206,14670,21.03629906,-35.675147,-71.542969,-35.675147,90,SI<19
China,85,1,22,1,4.84354E-08,2.807680042,1.93712E-06,2.119782217,2.45195E-06,3.31897E-05,1.28632E-07,3.20071E-06,-0.186662488,-0.575097186,0,8.3025,66.42,,10.920884,59.152,148.3488333,45.37799931,440.8256226,9460,52.66459583,35.86166,104.195397,35.86166,10,SI<19
Colombia,34,1,54,0,8.4227E-08,1.098612289,7.01892E-08,2.197224577,4.05132E-06,0.000103208,2.24605E-07,5.21786E-06,-0.450262373,-0.225248561,16.93,3.122608696,88.75,50.33571429,8.478047,80.778,44.74870212,47.05699992,459.1975708,6180,16.52721022,4.570868,-74.297333,4.570868,66,SI<19
Cyprus,11,1,28,1,2.48476E-06,1.609437912,9.82071E-06,2.564949357,5.79777E-06,0.000307144,8.28253E-07,2.96791E-05,-1.27308614,-0.372323892,28.57,33.07,94.71,,13.719062,66.81,128.7083333,11.06000042,1731.694458,28570,17.2944062,35.126413,33.429859,35.126413,94,SI>19
