country,days.to.peak.mortality,peak.or.no.mortality,days.to.peak.case,peak.or.no.case,early.mortality,early.mortality.growth,early.case,early.case.growth,peak.cum.mortality,peak.cum.case,peak.new.mortality,peak.new.case,log.peak.mortality.to.duration,log.peak.case.to.duration,early.stringency.average,early.stringency.sum,log.early.stringency.sum,how.early.stringency,stringency.delta,peak.stringency,early.mobility.walking,prop65,propurban,popdensity,vul_emp,health_exp,GNI,pollution,Latitude,Longitude,EIU_Democracy,stringent
Argentina,50,1,57,0,4.42519E-08,0.693147181,2.65512E-07,2.48490665,4.35881E-06,,1.92812E-07,3.62497E-06,-0.30923101,-0.219783589,7.461940299,499.95,6.214508093,45,0.919767442,90.21,105.08,11.117789,91.87,16.2585101,21.80499911,1324.603516,12390,13.31183395,-38.416097,-63.616672,7.02,SI<7.77
Australia,38,1,64,1,7.84317E-08,0.693147181,4.7059E-07,0.538996501,1.96079E-06,0.00017102,1.68068E-07,1.50085E-05,-0.410497292,-0.173545244,10.21666667,613,6.418364936,36,0.924117647,70.78,115.05,15.656475,86.012,3.249129487,10.63399966,5331.817871,53230,8.550324401,-25.274398,133.775136,9.09,SI>7.77
Austria,29,1,32,1,4.44129E-07,1.386294361,1.99858E-06,2.197224577,3.54193E-05,0.000918347,2.39512E-06,8.65575E-05,-0.446278493,-0.292334427,3.660422535,259.89,5.560258465,17,3.65952381,87.96,112.2771429,19.001566,58.297,107.2069267,7.385000229,4939.875488,49310,12.47796673,47.516231,14.550072,8.29,SI<7.77
Belgium,36,1,71,1,8.62841E-07,1.203972804,8.62841E-08,0,0.000419082,0.002896817,2.87696E-05,0.000125359,-0.290449762,-0.126539898,5.776285714,404.34,6.002256108,34,1.08884058,86.24,142.2928571,18.788744,98.001,377.2149273,10.18899989,4507.356445,45910,12.88651847,50.503887,4.469936,7.64,SI<7.77
Brazil,42,1,63,0,1.59955E-07,3.526360525,9.40913E-09,0.693147181,2.39133E-05,,1.57401E-06,2.15453E-05,-0.31814004,-0.17056112,4.069736842,309.3,5.73431168,15,2.3764,70.52,96.07428571,8.922838,86.569,25.06171624,27.90799952,928.7993164,9140,12.70662947,-14.235004,-51.92528,6.86,SI<7.77
Canada,47,1,87,1,2.64956E-08,0,1.05982E-07,0.826678573,6.81201E-05,0.001103885,4.42855E-06,5.09245E-05,-0.262285944,-0.113622605,1.921470588,130.66,4.872598529,47,0.877241379,79.1,125.9285714,17.232007,81.411,4.075308214,10.69100039,4754.947754,44940,6.428383133,56.130366,-106.346771,9.22,SI<7.77
Chile,31,1,57,0,3.1387E-07,1.791759469,4.18493E-07,2.079441542,8.36986E-06,,4.93224E-07,2.67574E-05,-0.468461374,-0.184714028,3.488024691,282.53,5.64378474,8,1.848,75.79,38.61,11.529802,87.564,25.18944607,22.69400036,1381.986206,14670,21.03629906,-35.675147,-71.542969,8.08,SI<7.77
China,85,1,22,1,9.24045E-08,2.807680042,4.22907E-06,2.119782217,3.22096E-06,4.61036E-05,1.28632E-07,3.20071E-06,-0.186662488,-0.575097186,1.226818182,26.99,3.295466427,3,5.316363636,66.42,,10.920884,59.152,148.3488333,45.37799931,440.8256226,9460,52.66459583,35.86166,104.195397,2.26,SI<7.77
Colombia,34,1,54,0,1.17918E-07,1.098612289,1.76877E-07,2.197224577,4.57914E-06,,2.24605E-07,5.21786E-06,-0.450262373,-0.225248561,10.50061728,850.55,6.745883199,61,0.96202381,88.75,50.33571429,8.478047,80.778,44.74870212,47.05699992,459.1975708,6180,16.52721022,4.570868,-74.297333,7.13,SI>7.77
Cyprus,11,1,28,1,4.14126E-06,1.609437912,2.15346E-05,2.564949357,8.28253E-06,0.000385138,8.28253E-07,2.96791E-05,-1.27308614,-0.372323892,6.93691358,561.89,6.331306101,17,4.4,94.71,,13.719062,66.81,128.7083333,11.06000042,1731.694458,28570,17.2944062,35.126413,33.429859,7.59,SI<7.77
