COUNTRY,milex,milper,irst,pec,cinc
Antigua & Barbuda,28000,0,0,40,5.39E-06
Afghanistan,2077000,171,0,2484,0.0027339
Albania,185000,14,500,1529,0.0003094
Algeria,9324000,130,557,97334,0.004188
Andorra,0,0,0,69,2.39E-06
Angola,4147000,107,0,12567,0.0024164
Argentina,4858000,73,4995,129377,0.0056534
Armenia,402000,49,0,4607,0.0006372
Australia,28269000,57,4893,193593,0.0072981
Austria,3232000,26,7421,42148,0.0020231
Azerbaijan,1761000,67,120,26164,0.0014056
Bahrain,1018000,8,0,39395,0.0005457
Barbados,33000,1,0,185,1.99E-05
Belgium,5266000,34,7301,86845,0.0029283
Benin,78000,5,0,3239,0.0004167
Burkina Faso,135000,11,0,4272,0.0007563
Bahamas,55000,1,0,261,0.0000249
Bhutan,-9,-9,0,1837,0.0000482
Belarus,552000,73,2687,65027,0.0019837
Belize,16000,1,0,262,0.0000196
Bangladesh,1537000,157,87,47422,0.0074687
Bolivia,336000,46,0,10900,0.001153
Bosnia and Herzegovina,231000,11,700,9228,0.0003801
Botswana,466000,9,0,1378,0.0001817
Brazil,35266000,318,34524,345842,0.0250626
Brunei,411000,7,0,6181,0.0001601
Burundi,62000,20,0,3022,0.0004779
Bulgaria,723000,31,633,33321,0.0009875
Cambodia,346000,124,0,5966,0.0015826
Canada,18445000,66,13507,343023,0.0091552
Cameroon,355000,14,0,10439,0.0012222
Cape Verde,9000,1,0,108,0.0000217
Ivory Coast,635000,-9,0,21385,0.0013411
Central African Republic,-9,2,0,645,0.0002262
Chad,202000,25,0,2462,0.0006305
Chile,4274000,59,1671,52664,0.0027141
China,102643000,2285,731040,5333707,0.2181166
Colombia,6206000,283,1302,54573,0.0066779
Comoros,-9,-9,0,93,0.0000265
Congo (Brazzaville),325000,10,0,2398,0.0004443
Costa Rica,349000,0,0,1986,0.0002579
Croatia,827000,19,1,12263,0.0004986
Cuba,-9,49,277,16460,0.0012781
Cyprus,450000,12,0,590,0.0001778
Czechia,2120000,25,5072,54943,0.0017953
Denmark,4422000,19,0,27817,0.0010774
Djibouti,-9,10,0,163,0.0001731
Dominica,0,0,0,15,1.82E-06
Dominican Republic,363000,25,0,7352,0.00081
Congo (Kinshasa),232000,159,30,27620,0.0047241
Vietnam,3295000,482,5298,85123,0.0088437
Ecuador,1509000,58,425,18659,0.0015635
Egypt,4582000,439,6627,132713,0.0098926
