value,country
13.550947,Aruba
2.584927,Afghanistan
2.216374,Angola
13.744736,Albania
1.085001,United Arab Emirates
11.117789,Argentina
11.253818,Armenia
8.799826,Antigua and Barbuda
15.656475,Australia
19.001566,Austria
6.195183,Azerbaijan
2.24694,Burundi
18.788744,Belgium
3.253605,Benin
2.406981,Burkina Faso
5.158391,Bangladesh
21.021914,Bulgaria
2.426334,Bahrain
7.257602,"Bahamas, The"
16.470317,Bosnia and Herzegovina
14.845148,Belarus
4.736459,Belize
7.191947,Bolivia
8.922838,Brazil
15.802694,Barbados
4.873148,Brunei Darussalam
6.003012,Bhutan
4.223874,Botswana
2.825774,Central African Republic
17.232007,Canada
18.623217,Switzerland
17.297462,Channel Islands
11.529802,Chile
10.920884,China
2.858943,Cote d'Ivoire
2.728877,Cameroon
3.017841,"Congo, Dem. Rep."
2.68172,"Congo, Rep."
8.478047,Colombia
3.007009,Comoros
4.609327,Cabo Verde
9.549848,Costa Rica
15.186211,Cuba
16.684895,Curacao
13.719062,Cyprus
19.420877,Czech Republic
21.461962,Germany
4.527579,Djibouti
19.812953,Denmark
7.082817,Dominican Republic
6.362497,Algeria
7.15729,Ecuador
5.229779,"Egypt, Arab Rep."
19.378508,Spain
19.626357,Estonia
3.501133,Ethiopia
21.720788,Finland
5.44968,Fiji
20.034625,France
3.996804,"Micronesia, Fed. Sts."
3.563907,Gabon
18.395866,United Kingdom
14.865491,Georgia
3.068898,Ghana
2.926022,Guinea
2.589981,"Gambia, The"
2.823716,Guinea-Bissau
2.457877,Equatorial Guinea
21.655272,Greece
9.621907,Grenada
4.812073,Guatemala
9.849911,Guam
6.450271,Guyana
16.875048,"Hong Kong SAR, China"
4.690618,Honduras
20.445433,Croatia
4.949404,Haiti
19.157725,Hungary
5.857166,Indonesia
6.179956,India
13.865802,Ireland
6.184574,"Iran, Islamic Rep."
3.3236,Iraq
14.795093,Iceland
11.976986,Israel
22.75168,Italy
8.796643,Jamaica
3.84649,Jordan
27.57637,Japan
7.391846,Kazakhstan
2.339187,Kenya
4.494728,Kyrgyz Republic
4.56868,Cambodia
3.952627,Kiribati
14.418556,"Korea, Rep."
2.550472,Kuwait
4.07515,Lao PDR
7.002368,Lebanon
3.253432,Liberia
4.39204,Libya
9.80653,St. Lucia
10.47322,Sri Lanka
4.901087,Lesotho
19.705033,Lithuania
14.183154,Luxembourg
20.04362,Latvia
10.484203,"Macao SAR, China"
7.012905,Morocco
11.469556,Moldova
2.986717,Madagascar
3.703345,Maldives
7.223685,Mexico
13.670181,North Macedonia
2.50723,Mali
20.349324,Malta
5.784642,Myanmar
14.974937,Montenegro
4.083539,Mongolia
2.890764,Mozambique
3.141112,Mauritania
11.474173,Mauritius
2.645435,Malawi
6.671755,Malaysia
3.636032,Namibia
9.174158,New Caledonia
2.595008,Niger
2.747377,Nigeria
5.247497,Nicaragua
19.196193,Netherlands
17.049222,Norway
5.727671,Nepal
15.652425,New Zealand
2.392787,Oman
4.312774,Pakistan
8.104731,Panama
8.088393,Peru
5.122569,Philippines
3.445269,Papua New Guinea
17.517817,Poland
18.67485,Puerto Rico
9.33452,"Korea, Dem. People’s Rep."
21.953858,Portugal
6.430215,Paraguay
3.133306,West Bank and Gaza
8.290508,French Polynesia
1.37007,Qatar
18.338701,Romania
14.674708,Russian Federation
2.938196,Rwanda
3.314088,Saudi Arabia
3.581161,Sudan
3.086824,Senegal
11.46338,Singapore
3.59895,Solomon Islands
2.966556,Sierra Leone
8.28709,El Salvador
2.873311,Somalia
18.345793,Serbia
3.398483,South Sudan
2.925678,Sao Tome and Principe
6.90637,Suriname
15.629247,Slovak Republic
19.60688,Slovenia
20.095525,Sweden
4.014588,Eswatini
7.594546,Seychelles
4.503124,Syrian Arab Republic
2.480519,Chad
2.869468,Togo
11.900893,Thailand
3.021888,Tajikistan
4.426634,Turkmenistan
4.316492,Timor-Leste
5.953661,Tonga
10.734954,Trinidad and Tobago
8.315679,Tunisia
8.483213,Turkey
2.601299,Tanzania
1.940987,Uganda
16.434686,Ukraine
14.81452,Uruguay
15.807654,United States
4.419138,Uzbekistan
9.589787,St. Vincent and the Grenadines
7.266987,"Venezuela, RB"
19.288307,Virgin Islands (U.S.)
7.274978,Vietnam
3.640153,Vanuatu
4.800412,Samoa
2.87627,"Yemen, Rep."
5.318005,South Africa
2.099678,Zambia
2.939524,Zimbabwe
