propurban,COUNTRY
43.411,Aruba
25.495,Afghanistan
65.514,Angola
60.319,Albania
88.062,Andorra
86.522,United Arab Emirates
91.87,Argentina
63.149,Armenia
87.153,American Samoa
24.599,Antigua and Barbuda
86.012,Australia
58.297,Austria
55.68,Azerbaijan
13.032,Burundi
98.001,Belgium
47.312,Benin
29.358,Burkina Faso
36.632,Bangladesh
75.008,Bulgaria
89.287,Bahrain
83.025,"Bahamas, The"
48.245,Bosnia and Herzegovina
78.595,Belarus
45.724,Belize
100,Bermuda
69.425,Bolivia
86.569,Brazil
31.147,Barbados
77.629,Brunei Darussalam
40.895,Bhutan
69.446,Botswana
41.364,Central African Republic
81.411,Canada
73.797,Switzerland
30.914,Channel Islands
87.564,Chile
59.152,China
50.779,Cote d'Ivoire
56.374,Cameroon
44.46,"Congo, Dem. Rep."
66.916,"Congo, Rep."
80.778,Colombia
28.965,Comoros
65.732,Cabo Verde
79.34,Costa Rica
77.037,Cuba
89.145,Curacao
100,Cayman Islands
66.81,Cyprus
73.792,Czech Republic
77.312,Germany
77.777,Djibouti
70.483,Dominica
87.874,Denmark
81.074,Dominican Republic
72.629,Algeria
63.821,Ecuador
42.704,"Egypt, Arab Rep."
80.321,Spain
68.88,Estonia
20.763,Ethiopia
85.382,Finland
56.248,Fiji
80.444,France
42.064,Faroe Islands
22.703,"Micronesia, Fed. Sts."
89.37,Gabon
83.398,United Kingdom
58.632,Georgia
56.06,Ghana
100,Gibraltar
36.14,Guinea
61.27,"Gambia, The"
43.36,Guinea-Bissau
72.143,Equatorial Guinea
79.058,Greece
36.272,Grenada
86.816,Greenland
51.054,Guatemala
94.78,Guam
26.606,Guyana
100,"Hong Kong SAR, China"
57.096,Honduras
56.947,Croatia
55.278,Haiti
71.351,Hungary
55.325,Indonesia
52.588,Isle of Man
34.03,India
63.17,Ireland
74.898,"Iran, Islamic Rep."
70.473,Iraq
93.813,Iceland
92.418,Israel
70.438,Italy
55.674,Jamaica
90.979,Jordan
91.616,Japan
57.428,Kazakhstan
27.03,Kenya
36.351,Kyrgyz Republic
23.388,Cambodia
54.057,Kiribati
30.776,St. Kitts and Nevis
81.459,"Korea, Rep."
100,Kuwait
35.004,Lao PDR
88.593,Lebanon
51.151,Liberia
80.102,Libya
18.678,St. Lucia
14.338,Liechtenstein
18.476,Sri Lanka
28.153,Lesotho
67.679,Lithuania
90.981,Luxembourg
68.142,Latvia
100,"Macao SAR, China"
62.453,Morocco
100,Monaco
42.629,Moldova
37.191,Madagascar
39.808,Maldives
80.156,Mexico
77.031,Marshall Islands
57.963,North Macedonia
42.356,Mali
94.612,Malta
30.579,Myanmar
66.813,Montenegro
68.445,Mongolia
91.618,Northern Mariana Islands
35.988,Mozambique
53.672,Mauritania
40.793,Mauritius
16.937,Malawi
76.036,Malaysia
50.032,Namibia
70.683,New Caledonia
16.425,Niger
50.344,Nigeria
58.522,Nicaragua
91.49,Netherlands
82.248,Norway
19.74,Nepal
100,Nauru
86.538,New Zealand
84.539,Oman
36.666,Pakistan
67.709,Panama
77.907,Peru
46.907,Philippines
79.93,Palau
13.169,Papua New Guinea
60.058,Poland
93.578,Puerto Rico
61.899,"Korea, Dem. People’s Rep."
65.211,Portugal
61.585,Paraguay
76.164,West Bank and Gaza
61.834,French Polynesia
99.135,Qatar
53.998,Romania
74.433,Russian Federation
17.211,Rwanda
83.844,Saudi Arabia
34.642,Sudan
47.192,Senegal
100,Singapore
23.749,Solomon Islands
42.055,Sierra Leone
72.023,El Salvador
97.226,San Marino
44.971,Somalia
56.092,Serbia
19.615,South Sudan
72.803,Sao Tome and Principe
66.06,Suriname
53.726,Slovak Republic
54.541,Slovenia
87.431,Sweden
23.799,Eswatini
100,Sint Maarten (Dutch part)
56.691,Seychelles
54.162,Syrian Arab Republic
93.098,Turks and Caicos Islands
23.059,Chad
41.702,Togo
49.949,Thailand
27.134,Tajikistan
51.593,Turkmenistan
30.578,Timor-Leste
23.131,Tonga
53.184,Trinidad and Tobago
68.945,Tunisia
75.143,Turkey
62.387,Tuvalu
33.776,Tanzania
23.774,Uganda
69.352,Ukraine
95.334,Uruguay
82.256,United States
50.478,Uzbekistan
52.198,St. Vincent and the Grenadines
88.208,"Venezuela, RB"
47.723,British Virgin Islands
95.721,Virgin Islands (U.S.)
35.919,Vietnam
25.274,Vanuatu
18.243,Samoa
36.642,"Yemen, Rep."
66.355,South Africa
43.521,Zambia
32.209,Zimbabwe
